purchase date,sale date,purchase underlying price,sale underlying price,contracts number,equity after sale of options,option price at purchase,option price at sale,profit/loss
1959-07-15,1959-09-08,59.59,57.7,72446.0,90611.25,0.00141,0.01817,-1683.81
1959-09-08,1960-01-11,57.7,58.77,51615.0,86010.59,0.0119,2e-05,-2679.19
1960-01-11,1960-01-29,58.77,55.61,63742.0,77000.42,0.00048,0.00603,-2196.23
1960-01-29,1960-02-11,55.61,55.18,56654.0,72056.41,0.00057,0.00661,-1925.81
1960-02-11,1960-06-10,55.18,57.97,46107.0,71048.2,0.00664,1e-05,-2151.69
1960-06-10,1960-09-15,57.97,55.22,50760.0,65803.11,0.00199,0.02297,-967.06
1960-09-15,1961-01-10,55.22,58.97,36935.0,65369.98,0.0125,0.0,-1939.69
1961-01-10,1961-04-24,58.97,64.4,47599.0,68634.29,0.0012,0.01483,-1255.23
1961-04-24,1961-08-10,64.4,67.95,8861.0,69060.91,0.18996,2e-05,-2039.06
1961-08-10,1961-12-11,67.95,72.39,48226.0,69355.4,0.00296,0.0,-2072.75
1961-12-11,1961-12-19,72.39,71.26,52003.0,64035.45,1e-05,6e-05,-2079.4
1961-12-19,1962-01-05,71.26,70.84,48000.0,59760.74,2e-05,0.00053,-1895.52
1962-01-05,1962-05-01,70.84,65.94,44368.0,52841.2,0.00039,0.00887,-1399.76
1962-05-01,1962-05-11,65.94,64.1,37471.0,49377.51,0.00199,0.02021,-817.28
1962-05-11,1962-05-23,64.1,62.42,28718.0,51377.23,0.01079,0.1162,1877.16
1962-05-23,1962-05-28,62.42,59.15,13389.0,68833.33,0.06764,0.94227,11174.42
1962-05-28,1962-08-10,59.15,57.85,9272.0,52968.18,0.14189,0.0184,-1517.0
1962-08-10,1962-12-10,57.85,63.35,4523.0,56012.93,0.31019,0.01955,-1496.56
1962-12-10,1963-04-10,63.35,68.89,5171.0,58722.15,0.28439,0.0,-1678.58
1963-04-10,1963-08-12,68.89,71.0,43724.0,56892.45,0.00029,0.0,-1762.68
1963-08-12,1963-11-22,71.0,72.17,42404.0,54695.44,0.00025,0.0047,-1509.3
1963-11-22,1964-03-10,72.17,78.9,26428.0,56638.8,0.02186,0.0,-1635.72
1964-03-10,1964-04-27,78.9,80.01,42479.0,53939.36,0.0,0.0,-1700.0
1964-04-27,1964-04-30,80.01,80.08,40454.0,50659.07,0.0,0.0,-1620.0
1964-04-30,1964-05-01,80.08,80.47,37994.0,47778.14,0.0,0.0,-1520.0
1964-05-01,1964-06-04,80.47,79.75,35833.0,44420.58,0.0,1e-05,-1433.64
1964-06-04,1964-10-12,79.75,85.58,33306.0,44830.23,1e-05,0.0,-1334.33
1964-10-12,1964-10-15,85.58,84.99,33622.0,41774.51,0.0,0.0,-1346.0
1964-10-15,1964-12-01,84.99,84.56,31330.0,38997.85,0.0,0.0,-1254.0
1964-12-01,1965-04-12,84.56,88.36,29248.0,38298.44,0.0,0.0,-1170.0
1965-04-12,1965-05-27,88.36,88.36,28723.0,35944.44,0.0,0.0,-1150.0
1965-05-27,1965-06-02,88.36,87.87,26958.0,33551.5,0.0,0.00022,-1074.07
1965-06-02,1965-06-11,87.87,85.68,25058.0,30762.61,0.00016,0.00175,-964.16
1965-06-11,1965-06-24,85.68,84.73,22615.0,28909.26,0.00075,0.00873,-725.53
1965-06-24,1965-10-11,84.73,91.84,18769.0,29391.29,0.00589,0.0,-862.55
1965-10-11,1966-02-10,91.84,94.7,22043.0,28477.89,0.0,0.0,-882.0
1966-02-10,1966-02-23,94.7,92.21,21358.0,26003.4,0.0,0.0,-856.0
1966-02-23,1966-03-01,92.21,91.65,19502.0,24250.83,0.0,1e-05,-781.8
1966-03-01,1966-03-07,91.65,89.39,18183.0,22193.67,1e-05,0.00032,-722.36
